,file_name,game_id,fen
0,G000_IMG000.jpg,0,rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR
1,G000_IMG001.jpg,0,rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR
2,G000_IMG002.jpg,0,rnbqkbnr/ppp1pppp/8/3p4/1P6/8/P1PPPPPP/RNBQKBNR
3,G000_IMG003.jpg,0,rnbqkbnr/ppp1pppp/8/3p4/1P6/8/PBPPPPPP/RN1QKBNR
4,G000_IMG004.jpg,0,rn1qkbnr/ppp1pppp/8/3p1b2/1P6/8/PBPPPPPP/RN1QKBNR
5,G000_IMG005.jpg,0,rn1qkbnr/ppp1pppp/8/3p1b2/1P6/5N2/PBPPPPPP/RN1QKB1R
6,G000_IMG006.jpg,0,rn1qkbnr/ppp2ppp/4p3/3p1b2/1P6/5N2/PBPPPPPP/RN1QKB1R
7,G000_IMG007.jpg,0,rn1qkbnr/ppp2ppp/4p3/3p1b2/1P6/4PN2/PBPP1PPP/RN1QKB1R
8,G000_IMG008.jpg,0,rn1qkb1r/ppp2ppp/4pn2/3p1b2/1P6/4PN2/PBPP1PPP/RN1QKB1R
9,G000_IMG009.jpg,0,rn1qkb1r/ppp2ppp/4pn2/3p1b2/1P6/P3PN2/1BPP1PPP/RN1QKB1R
10,G000_IMG010.jpg,0,r2qkb1r/pppn1ppp/4pn2/3p1b2/1P6/P3PN2/1BPP1PPP/RN1QKB1R
11,G000_IMG011.jpg,0,r2qkb1r/pppn1ppp/4pn2/3p1b2/1PP5/P3PN2/1B1P1PPP/RN1QKB1R
12,G000_IMG012.jpg,0,r2qkb1r/pp1n1ppp/2p1pn2/3p1b2/1PP5/P3PN2/1B1P1PPP/RN1QKB1R
13,G000_IMG013.jpg,0,r2qkb1r/pp1n1ppp/2p1pn2/3p1b2/1PP5/P1N1PN2/1B1P1PPP/R2QKB1R
14,G000_IMG014.jpg,0,r2qk2r/pp1n1ppp/2pbpn2/3p1b2/1PP5/P1N1PN2/1B1P1PPP/R2QKB1R
15,G000_IMG015.jpg,0,r2qk2r/pp1n1ppp/2pbpn2/3p1b2/1PP5/P1N1PN2/1B1PBPPP/R2QK2R
